id,name,address,lat,lng,locality,hours,contact,accepted,is_active,last_verified_at,source
ecolecta-martires,Ecolecta DILE Mártires,Carrera 30 No. 1A-20,4.5872,-74.0994,Los Mártires,Lun–Vie 8:00–17:00,,phones|tablets|chargers|headphones|tvs|printers|cables|peripherals|small_appliances,true,2026-09-08,Ecolecta
ecolecta-tunjuelito,Ecolecta DILE Tunjuelito,Calle 48B Sur No. 27-80,4.5621,-74.1268,Tunjuelito,Lun–Vie 8:00–17:00,,phones|tablets|chargers|headphones|tvs|printers|cables|peripherals|small_appliances,true,2026-09-08,Ecolecta
ecolecta-bosa-cdc,Ecolecta CDC Bosa Porvenir,Carrera 100 No. 52-24 Sur,4.6175,-74.1948,Bosa,Lun–Vie 8:00–17:00,,phones|tablets|chargers|headphones|tvs|printers|cables|peripherals|small_appliances,true,2026-09-08,Ecolecta
ecocomputo-unicentro,EcoCómputo Unicentro,Carrera 15 No. 124-30,4.7025,-74.0415,Usaquén,Lun–Sáb 10:00–20:00,,computers|laptops|tablets|printers|cables|peripherals,true,2026-09-08,EcoCómputo
ecocomputo-gran-estacion,EcoCómputo Gran Estación,Avenida Calle 26 No. 62-47,4.6485,-74.102,Teusaquillo,Lun–Sáb 10:00–20:00,,computers|laptops|tablets|printers|cables|peripherals,true,2026-09-08,EcoCómputo
ecocomputo-centro-mayor,EcoCómputo Centro Mayor,Autopista Sur No. 38A-00,4.5919,-74.1237,Antonio Nariño,Lun–Sáb 10:00–20:00,,computers|laptops|tablets|printers|cables|peripherals,true,2026-09-08,EcoCómputo
ecocomputo-titan,EcoCómputo Titán Plaza,Carrera 72 No. 80-94,4.6948,-74.0864,Engativá,Lun–Sáb 10:00–20:00,,computers|laptops|tablets|printers|cables|peripherals,true,2026-09-08,EcoCómputo
ecocomputo-unilago,EcoCómputo Unilago,Carrera 15 No. 78-33,4.6649,-74.0548,Chapinero,Lun–Sáb 10:00–20:00,,computers|laptops|tablets|printers|cables|peripherals,true,2026-09-08,EcoCómputo
ecocomputo-hayuelos,EcoCómputo Hayuelos,Calle 20 No. 82-52,4.6628,-74.1295,Fontibón,Lun–Sáb 10:00–20:00,,computers|laptops|tablets|printers|cables|peripherals,true,2026-09-08,EcoCómputo
ecocomputo-andino,EcoCómputo Centro Andino,Carrera 11 No. 82-71,4.6668,-74.0529,Chapinero,Lun–Sáb 10:00–21:00,,computers|laptops|tablets|printers|cables|peripherals,true,2026-09-08,EcoCómputo
pilas-colina,Pilas con el Ambiente Colina,Avenida Boyacá con Calle 145,4.737,-74.066,Suba,Lun–Dom 8:00–21:00,,batteries|cells,true,2026-09-08,Pilas
pilas-140,Pilas con el Ambiente Calle 140,Avenida Carrera 19 No. 140-20,4.7195,-74.03,Usaquén,Lun–Sáb 8:00–20:00,,batteries|cells,true,2026-09-08,Pilas
pilas-chapinero,Pilas con el Ambiente Chapinero,Carrera 13 No. 53-30,4.6415,-74.0645,Chapinero,Lun–Sáb 8:00–21:00,,batteries|cells,true,2026-09-08,Pilas
pilas-americas,Pilas con el Ambiente Plaza Américas,Transversal 71D No. 6-94 Sur,4.6186,-74.1355,Kennedy,Lun–Dom 8:00–21:00,,batteries|cells,true,2026-09-08,Pilas
pilas-hayuelos,Pilas con el Ambiente Hayuelos,Calle 20 No. 82-52,4.6628,-74.1295,Fontibón,Lun–Dom 8:00–21:00,,batteries|cells,true,2026-09-08,Pilas
pilas-gran-estacion,Pilas con el Ambiente Gran Estación,Avenida Calle 26 No. 62-47,4.6485,-74.102,Teusaquillo,Lun–Sáb 8:00–21:00,,batteries|cells,true,2026-09-08,Pilas
pilas-niza,Pilas con el Ambiente Bulevar Niza,Avenida Carrera 58 No. 127-59,4.7112,-74.0718,Suba,Lun–Dom 8:00–21:00,,batteries|cells,true,2026-09-08,Pilas
pilas-santafe,Pilas con el Ambiente Santa Fe,Autopista Norte No. 183-04,4.7628,-74.0445,Usaquén,Lun–Dom 10:00–21:00,,batteries|cells,true,2026-09-08,Pilas
pilas-bosa,Pilas con el Ambiente SuperCADE Bosa,Avenida Calle 57R Sur No. 72D-12,4.5952,-74.1818,Bosa,Lun–Sáb 7:00–17:00,,batteries|cells,true,2026-09-08,Pilas
pilas-cad,Pilas con el Ambiente SuperCADE CAD,Carrera 30 No. 25-90,4.6234,-74.0842,Teusaquillo,Lun–Sáb 7:00–17:00,,batteries|cells,true,2026-09-08,Pilas
pilas-20julio,Pilas con el Ambiente 20 de Julio,Carrera 5A No. 30D-20 Sur,4.5784,-74.0872,San Cristóbal,Lun–Sáb 7:00–17:00,,batteries|cells,true,2026-09-08,Pilas
red-verde-calle80,Red Verde Homecenter Calle 80,Avenida Calle 80 No. 69-70,4.6865,-74.083,Engativá,Lun–Dom 7:00–21:00,,tvs|small_appliances,true,2026-09-08,Red Verde
red-verde-tintal,Red Verde Homecenter Tintal,Avenida Ciudad de Cali con Calle 13,4.6472,-74.1575,Kennedy,Lun–Dom 7:00–21:00,,tvs|small_appliances,true,2026-09-08,Red Verde
red-verde-norte,Red Verde Homecenter Autopista Norte,Autopista Norte con Calle 175,4.7355,-74.0548,Usaquén,Lun–Dom 7:00–21:00,,tvs|small_appliances,true,2026-09-08,Red Verde
red-verde-sur,Red Verde Homecenter Sur,Avenida Boyacá con Calle 57 Sur,4.5772,-74.1384,Tunjuelito,Lun–Dom 7:00–21:00,,tvs|small_appliances,true,2026-09-08,Red Verde
red-verde-alkosto68,Red Verde Alkosto Avenida 68,Avenida 68 No. 80-20,4.6804,-74.0806,Barrios Unidos,Lun–Dom 7:00–21:00,,tvs|small_appliances,true,2026-09-08,Red Verde
